team_id,team_name,league_id,league_name,club_worth_eur,overall,attack,midfield,defence
10,Manchester City,13,Premier League,4600000000.0,85,87,86,83
243,Real Madrid,53,La Liga,4800000000.0,85,85,85,83
21,FC Bayern München,19,Bundesliga,3800000000.0,84,90,84,83
241,FC Barcelona,53,La Liga,4300000000.0,84,84,84,83
9,Liverpool,13,Premier League,4600000000.0,83,84,82,84
73,Paris Saint Germain,16,Ligue 1,4200000000.0,83,86,79,83
240,Atlético Madrid,53,La Liga,1200000000.0,83,85,82,81
1,Arsenal,13,Premier League,2100000000.0,82,82,84,81
11,Manchester United,13,Premier League,4800000000.0,82,82,83,80
44,Inter,31,Serie A,1000000000.0,82,81,82,82
13,Newcastle United,13,Premier League,730500000.0,81,79,81,82
18,Tottenham Hotspur,13,Premier League,2600000000.0,81,81,80,79
22,Borussia Dortmund,19,Bundesliga,1700000000.0,81,81,81,81
48,Napoli,31,Serie A,660000000.0,81,82,82,80
2,Aston Villa,13,Premier League,695500000.0,80,82,79,79
5,Chelsea,13,Premier League,2900000000.0,80,77,81,78
32,Bayer 04 Leverkusen,19,Bundesliga,465100000.0,80,81,81,79
45,Juventus,31,Serie A,2000000000.0,80,81,80,79
46,Lazio,31,Serie A,320000000.0,80,81,79,80
47,Milan,31,Serie A,1200000000.0,80,81,79,81
52,Roma,31,Serie A,660000000.0,80,82,78,81
481,Sevilla,53,La Liga,540000000.0,80,80,79,82
112172,RB Leipzig,19,Bundesliga,569100000.0,80,82,79,79
448,Athletic Club,53,La Liga,250000000.0,79,77,79,77
449,Real Betis,53,La Liga,175000000.0,79,83,79,77
457,Real Sociedad,53,La Liga,150000000.0,79,79,81,79
483,Villarreal,53,La Liga,370000000.0,79,79,80,77
19,West Ham United,13,Premier League,993600000.0,78,78,79,78
39,Atalanta,31,Serie A,350000000.0,78,79,77,77
219,Olympique de Marseille,16,Ligue 1,458000000.0,78,77,78,78
110374,Fiorentina,31,Serie A,270000000.0,78,78,77,78
7,Everton,13,Premier League,684500000.0,77,79,77,75
14,Nottingham Forest,13,Premier League,172500000.0,77,75,77,75
64,Lens,16,Ligue 1,160000000.0,77,77,76,77
69,Monaco,16,Ligue 1,430000000.0,77,81,77,75
144,Fulham,13,Premier League,228500000.0,77,76,77,76
175,VfL Wolfsburg,19,Bundesliga,349100000.0,77,76,78,75
479,Osasuna,53,La Liga,15000000.0,77,77,77,77
1808,Brighton & Hove Albion,13,Premier League,425000000.0,77,77,77,78
1831,FC Union Berlin,19,Bundesliga,135000000.0,77,77,75,77
23,Borussia Mönchengladbach,19,Bundesliga,304000000.0,76,75,76,75
25,SC Freiburg,19,Bundesliga,278700000.0,76,76,76,77
65,Lille,16,Ligue 1,200000000.0,76,77,75,75
66,Olympique Lyonnais,16,Ligue 1,734000000.0,76,77,75,76
72,Nice,16,Ligue 1,200000000.0,76,77,76,75
74,Rennes,16,Ligue 1,180000000.0,76,77,78,74
110,Wolverhampton Wanderers,13,Premier League,416500000.0,76,75,77,76
450,Celta de Vigo,53,La Liga,110000000.0,76,79,76,75
453,Mallorca,53,La Liga,8000000.0,76,77,77,74
480,Rayo Vallecano,53,La Liga,10000000.0,76,76,77,77
1799,Crystal Palace,13,Premier League,741500000.0,76,75,76,76
1824,Eintracht Frankfurt,19,Bundesliga,685800000.0,76,76,76,75
1860,Getafe,53,La Liga,45000000.0,76,82,76,75
1925,Brentford,13,Premier League,220500000.0,76,75,76,76
10029,TSG Hoffenheim,19,Bundesliga,331100000.0,76,77,76,75
110062,Girona,53,La Liga,8000000.0,76,77,76,76
54,Torino,31,Serie A,125000000.0,75,76,74,76
169,FSV Mainz 05,19,Bundesliga,129000000.0,75,77,75,74
461,Valencia,53,La Liga,530000000.0,75,74,74,76
1861,Almería,53,La Liga,47000000.0,75,75,74,74
1943,AFC Bournemouth,13,Premier League,215500000.0,75,75,75,74
1968,Cádiz,53,La Liga,5000000.0,75,74,75,73
111811,Monza,31,Serie A,47500000.0,75,75,75,74
111974,Sassuolo,31,Serie A,110000000.0,75,78,73,72
31,FC Köln,19,Bundesliga,136500000.0,74,73,74,73
38,Werder Bremen,19,Bundesliga,151700000.0,74,75,74,74
55,Udinese,31,Serie A,160000000.0,74,74,73,74
189,Bologna,31,Serie A,130000000.0,74,73,76,73
206,Hellas Verona,31,Serie A,89000000.0,74,71,74,74
472,Las Palmas,53,La Liga,45000000.0,74,75,75,72
1796,Burnley,13,Premier League,178500000.0,74,69,74,73
100409,FC Augsburg,19,Bundesliga,145300000.0,74,72,74,74
